"segment"	"thesis"	"first_page"	"last_page"	"pages"	"title"	"summary"	"theatre_logline"	"theatre_cast"	"theatre_setting"	"theatre_action"	"thesis_number"	"thesis_topic"	"duration_pages"
"57"	"4"	"333"	"342"	"10"	"Streit um das Abendmahl und Einlenken von St. Gallen"	"Bucer bekräftigt im Gespräch mit dem Pfarrer von St. Gallen, dass die menschliche Natur Christi nach der Himmelfahrt nicht gleichzeitig an mehreren Orten leiblich anwesend sein kann. Daraufhin erklärt der Pfarrer von St. Gallen, durch Zwingli, Ökolampad und Bucer überzeugt worden zu sein, und stellt seine Gegenwehr gegen die vierte Schlussrede ein. Anschliessend tritt Theobald Hütter, der Pfarrer von Appenzell, auf und verteidigt unter Berufung auf die Allmacht Gottes und biblische Zeugnisse die leibliche Gegenwart Christi gegen Zwinglis symbolische Auslegung der Einsetzungsworte."	"Niclaus Christen, Martin Bucer, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Streit um das Abendmahl und Einlenken von St. Gallen."	"Sänger von Zoffingen; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"10"
"58"	"4"	"343"	"343"	"1"	"Debatte über wahren Glauben und das Abendmahl"	"Der reformierte Sprecher weist gegnerische Schriftauslegungen zurück und unterscheidet ein rein äusserliches Lippenbekenntnis vom wahren, im Herzen wirkenden Glauben. Für das Abendmahl betont er, dass neben Brot und Wein die Vergegenwärtigung des Todes Christi im Herzen der Gläubigen entscheidend sei. Die Erscheinung Christi vor Paulus erklärt er nicht als leibliche Gegenwart auf Erden, sondern als Dienst durch Engel."	"Die Verhandlungsführer ob bilder und reliquien in der kirche zulässig sind: Debatte über wahren Glauben und das Abendmahl."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"1"
"59"	"4"	"344"	"351"	"8"	"Debatte Appenzeller Geistlicher über die Wandlung"	"Der Pfarrer von Appenzell verteidigt die traditionelle Auffassung von der Verwandlung des Brotes in den wahren Leib Christi und beruft sich auf die Lehre der Kirche. Walther Klarer und Pelagius am Stein fordern ihn auf, sich allein dem Wort Gottes zu unterwerfen, und bestreiten ein empfindliches Essen des Leibes Christi im Abendmahl. Schliesslich bekennen sich die reformierten Appenzeller Geistlichen gemeinsam mit Zwingli zu den Berner Schlussreden und verwerfen die Transsubstantiation."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Debatte Appenzeller Geistlicher über die Wandlung."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"8"
"60"	"4"	"352"	"355"	"4"	"Ende der vierten und Beginn der fünften Schlussrede"	"Nach abschliessenden Worten von Zwingli und Buchstab zur vierten These über das Abendmahl bekennt sich Pfarrer Matthias von Söngen zur reformierten Auslegung. Conrad Som von Ulm bekräftigt die evangelische Abendmahlslehre und beklagt das Fernbleiben seines Widersachers Johannes Eck, der die Disputation in Bern meide. Anschliessend leitet Berchtold Haller die Verhandlung der fünften Schlussrede ein und begründet die Ablehnung des Messopfers mit dem vollkommenen Erlösungswerk Christi."	"Johannes Eck, Niclaus Christen, Berchtold Haller u.a. (Reformierte und katholische Theologen) ob bilder und reliquien in der kirche zulässig sind: Ende der vierten und Beginn der fünften Schlussrede."	"Katholischer Theologe; Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"4"	"Ob Bilder und Reliquien in der Kirche zulässig sind"	"4"
"61"	"5"	"356"	"364"	"9"	"Debatte über das Messopfer und die Figur Melchisedechs"	"Nach einer ausführlichen reformierten Kritik am Messopfer begründet Johannes Buchstab das eucharistische Opfern anhand Melchisedechs, der Abraham Brot und Wein dargebracht habe. Berchtoldus Haller weist diesen Schriftbeweis zurück und legt anhand des Hebräerbriefs dar, dass Melchisedech kein Opfer vollzogen habe, sondern allein Christi ewiges Priestertum vorbilde. Gilg Murer verteidigt daraufhin Buchstabs Position und beharrt darauf, dass Melchisedechs Priestertum notwendig ein materielles Opfer von Brot und Wein einschliesse."	"Johannes Buchstab, Niclaus Christen, Berchtold Haller (Reformierte und katholische Theologen) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Debatte über das Messopfer und die Figur Melchisedechs."	"Katholische Seite; Sänger von Zoffingen; Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"9"
"62"	"5"	"365"	"373"	"9"	"Debatte über Melchisedech und das Messopfer"	"Gilg Dürer und Johannes Buchstab verteidigen das Messopfer, indem sie Melchisedechs Darbringung von Brot und Wein sowie alttestamentliche Stellen als Vorbild für die priesterliche Handlung deuten. Zwingli widerspricht dieser Auslegung und betont, Melchisedech sei allein eine Vorbedeutung für das einmalige Selbstopfer Christi am Kreuz gewesen. Bucer weist Buchstabs philologische Argumentation zurück und bekräftigt, dass der Einsetzungsbericht des Abendmahls kein erneutes Opfern, sondern das Gedächtnis des Todes Christi meint."	"Gilg Durer, Johannes Buchstab, Niclaus Christen u.a. (Reformierte und katholische Theologen) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Debatte über Melchisedech und das Messopfer."	"Katholische Seite; Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"9"
"63"	"5"	"374"	"374"	"1"	"Bucers Erwiderung zum Messopfer und Hebräerbrief"	"Ein altgläubiger Sprecher verteidigt das tägliche Messopfer unter Verweis auf das Priestertum Melchisedechs und alttestamentliche Vorbilder. Martin Bucer weist dessen Vorwurf zurück, die Adressaten des Hebräerbriefs seien im Glauben schlecht unterrichtet gewesen. Zudem argumentiert Bucer, dass Christus die Gläubigen durch sein einmaliges Opfer für immer vollendet habe und damit auch das Messopfer hinfällig sei."	"Martin Bucer (Die reformierte Seite) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Bucers Erwiderung zum Messopfer und Hebräerbrief."	"Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"1"
"64"	"5"	"375"	"382"	"8"	"Bucer und Murer über das Messopfer und Schriftbelege"	"Martin Bucer bestreitet die Notwendigkeit des Messopfers mit dem Argument, dass Christi einmaliges Kreuzesopfer die Erlösung bereits vollkommen und ewig bewirkt habe. Gilg Murer verteidigt die Messe als tägliches Gedächtnis- und Repräsentationsopfer zur Teilhabe an Christi Leiden und beruft sich dafür auf Stellen in der Apostelgeschichte sowie beim Propheten Maleachi. Bucer weist diese Interpretation zurück und legt anhand des griechischen Urtexts dar, dass in Apostelgeschichte 13 von gottesdienstlichem Gebet und nicht von einem priesterlichen Opfer die Rede sei."	"Gilg Durer, Niclaus Christen, Martin Bucer (Reformierte und katholische Theologen) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Bucer und Murer über das Messopfer und Schriftbelege."	"Katholische Seite; Sänger von Zoffingen; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"8"
"65"	"5"	"383"	"388"	"6"	"Debatte über alttestamentliche Opferprophezeiungen"	"Gilg Murer verteidigt das Messopfer anhand von Schriftstellen aus den Propheten Malachias und Daniel, worin er eine Ankündigung eines künftigen Opfers und dessen Ende in der Endzeit sieht. Martin Bucer und Huldrych Zwingli halten dagegen, dass das reine Opfer geistlich zu verstehen sei und Daniel vom jüdischen Opfer sowie der Zerstörung des Tempels spreche. Während Ökolampad die Erfüllung der Prophezeiungen historisch einordnet, schaltet sich Johannes Büchstab mit dem Verweis auf neutestamentliche Aussagen über den Antichristen in die Diskussion ein."	"Gilg Durer, Martin Bucer, Ulrich Zwingli (Reformierte und katholische Theologen) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Debatte über alttestamentliche Opferprophezeiungen."	"Katholische Seite; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"6"
"66"	"5"	"389"	"394"	"6"	"Disputation über Endzeitprophetien und das Priestertum"	"Im Streit um die biblische Begründung des Messopfers weisen Ökolampad und Zwingli die endzeitlichen Auslegungen von Schulmeister Buchstab sowie das Votum Theobald Huters zurück. Am folgenden Tag führt Johannes Dannberg Stellen aus dem Hebräer- und dem vierten Buch Mose an, um den priesterlichen Opferdienst der Messe zu verteidigen. Berchtold Haller und Martin Bucer entgegnen daraufhin, dass allein Christus das vollkommene Opfer dargebracht habe und die paulinischen Briefe kein Messopfer begründen."	"Berchtold Haller, Martin Bucer, Ulrich Zwingli (Die reformierte Seite) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Disputation über Endzeitprophetien und das Priestertum."	"Berner Prädikant; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 6 Seiten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"6"
"67"	"5"	"395"	"401"	"7"	"Debatte über die Messe und Einführung der sechsten These"	"Johannes Büchstab verteidigt gegenüber Berchtold Haller äussere Zeremonien und die Anbetung Christi unter der Gestalt des Brotes, während Haller die Messe wegen menschlicher Zusätze als Gräuel ablehnt. Nach einer Erörterung zwischen Johannes Dannberger und Huldrych Zwingli über das Wesen des Testaments Christi wird die fünfte Schlussrede beendet. Franz Kolb leitet schliesslich die sechste Schlussrede ein, wonach allein Christus als Mittler und Fürsprecher vor Gott anzurufen sei."	"Berchtold Haller, Franz Kolb (Die reformierte Seite) ob die messe ein opfer darstellt oder gedächtnismahl christi ist: Debatte über die Messe und Einführung der sechsten These."	"Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"5"	"Ob die Messe ein Opfer darstellt oder Gedächtnismahl Christi ist"	"7"
"68"	"6"	"402"	"402"	"1"	"Verteidigung Christi als Mittler und Wortmeldung Wächters"	"Zur Begründung der sechsten These wird betont, dass allein Christus der Mittler sei und die Anrufung von Heiligen oder Nothelfern unbiblischem Götzendienst gleiche. Daraufhin meldet sich Hanns Wächter von Schenkenberg und berichtet, der Kirchherr von Brugg habe öffentlich gegen diese Auffassung gepredigt. Er fordert den Pfarrer von Brugg auf, seine auf das Buch der Makkabäer gestützten Argumente für die Heiligenfürbitte nun offenzulegen."	"Die Verhandlungsführer ob klostergelübde und damit verbundene armut evangeliumsgemäss sind: Verteidigung Christi als Mittler und Wortmeldung Wächters."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 1 Seite."	"6"	"Ob Klostergelübde und damit verbundene Armut evangeliumsgemäss sind"	"1"
"69"	"6"	"403"	"411"	"9"	"Debatte über die Fürbitte der Heiligen"	"Nachdem Johannes Lottstetter und Hanns Wächter über eine Predigt zur Fürbitte Marias und der Heiligen gesprochen haben, verteidigt Gilg Dürer das fürbittende Gebet der Heiligen als Glieder am Leib Christi. Dürer stützt seine Argumente unter anderem auf das biblische Liebesgebot und die Offenbarung des Johannes. Ulrich Zwingli weist diese Deutung zurück und betont, dass nach der Heiligen Schrift allein Christus der Mittler sei und die Apokalypse keinen gültigen Gegenbeweis liefere."	"Gilg Durer, Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) ob klostergelübde und damit verbundene armut evangeliumsgemäss sind: Debatte über die Fürbitte der Heiligen."	"Katholische Seite; Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"6"	"Ob Klostergelübde und damit verbundene Armut evangeliumsgemäss sind"	"9"
"70"	"6"	"412"	"418"	"7"	"Streit über die Fürbitte der Heiligen im Himmel"	"Gilg Dürer verteidigt die Fürbitte der verstorbenen Heiligen im Himmel anhand verschiedener Bibelstellen, was Zwingli als unbiblisch und kontextwidrig zurückweist. Johannes Buchstab greift diese Argumentation auf und fordert von den Reformatoren einen Schriftbeweis dafür, dass den Heiligen nach dem Tod die Macht zur Fürbitte genommen worden sei. Berchtold Haller entgegnet, dass die Schrift Fürbitten allein unter lebenden Gläubigen kenne und Christus der einzige Mittler vor Gott bleibe."	"Gilg Durer, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) ob klostergelübde und damit verbundene armut evangeliumsgemäss sind: Streit über die Fürbitte der Heiligen im Himmel."	"Katholische Seite; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"6"	"Ob Klostergelübde und damit verbundene Armut evangeliumsgemäss sind"	"7"
"71"	"6"	"419"	"425"	"7"	"Debatte über Fürbitte, biblischen Kanon und Maria"	"Johannes Büchstab verteidigt die Fürbitte von Engeln und Heiligen sowie die Mittlerrolle Marias und beruft sich dabei auch auf alttestamentliche Vorbilder und apokryphe Schriften. Johannes Ökolampad und Berchtold Haller widersprechen seinen Schriftauslegungen und betonen den Unterschied zwischen kanonischen und apokryphen Büchern. Ulrich Zwingli bekräftigt die alleinige Autorität der kanonischen Bibel und weist eine göttliche Fürbitterfunktion Marias zurück."	"Niclaus Christen, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) ob klostergelübde und damit verbundene armut evangeliumsgemäss sind: Debatte über Fürbitte, biblischen Kanon und Maria."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"6"	"Ob Klostergelübde und damit verbundene Armut evangeliumsgemäss sind"	"7"
"72"	"6"	"426"	"431"	"6"	"Verwerfung von Heiligenfürbitte und Fegefeuer"	"Zwingli weist die Fürbitte der Heiligen und die Wirksamkeit von Wallfahrtsorten zurück, da allein Christus der Mittler und Erlöser ist. Anschliessend beklagt Paulus Beck aus Geislingen das Fernbleiben seines altgläubigen Kontrahenten Jörg Oswald, den er zur Disputation geladen hatte. Berchtold Haller eröffnet daraufhin die siebte Schlussrede und begründet anhand der Schrift die Ablehnung des Fegefeuers sowie aller Totendienste."	"Niclaus Christen, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) ob klostergelübde und damit verbundene armut evangeliumsgemäss sind: Verwerfung von Heiligenfürbitte und Fegefeuer."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 6 Seiten."	"6"	"Ob Klostergelübde und damit verbundene Armut evangeliumsgemäss sind"	"6"
"73"	"7"	"432"	"440"	"9"	"Debatte über Schriftbelege für das Fegefeuer"	"Johannes Dannberger und Johannes Büchstab verteidigen die Existenz des Fegefeuers mit verschiedenen biblischen Belegstellen über Abstufungen der Strafe sowie die Notwendigkeit einer nachtodlichen Reinigung unvollkommen Gläubiger. Zwingli und Ökolampad weisen diese Auslegungen zurück und argumentieren, dass Begriffe wie Hölle, Wasser und Feuer für irdische Trübsale oder das Grab stehen und die Gläubigen allein durch das Blut Christi vollkommen erlöst werden. Büchstab beharrt darauf, dass Gott den Menschen nach seinen Werken vergilt und ein unvollkommener Glaube der nachträglichen Läuterung bedürfe."	"Berchtold Haller, Ulrich Zwingli (Die reformierte Seite) ob die kindertaufe biblisch begründet ist: Debatte über Schriftbelege für das Fegefeuer."	"Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 9 Seiten."	"7"	"Ob die Kindertaufe biblisch begründet ist"	"9"
"74"	"7"	"441"	"443"	"3"	"Debatte über 1. Korinther 3 und das Fegefeuer"	"Zwingli bekräftigt, dass allein der Glaube an Christus selig mache und die angeführten Bibelstellen kein Fegefeuer belegen. Johannes Büchstab verteidigt die Existenz des Fegefeuers mit alttestamentlichen Prophetenworten sowie der paulinischen Aussage über das prüfende Feuer im ersten Korintherbrief. Berchtold Haller erwidert darauf, Paulus spreche an dieser Stelle nicht vom Fegefeuer, sondern von der Erprobung der christlichen Lehre und ihrer Prediger in Zeiten von Verfolgung."	"Berchtold Haller, Ulrich Zwingli (Die reformierte Seite) ob die kindertaufe biblisch begründet ist: Debatte über 1. Korinther 3 und das Fegefeuer."	"Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"7"	"Ob die Kindertaufe biblisch begründet ist"	"3"
"75"	"7"	"444"	"445"	"2"	"Streit um Paulus, den Tag des Herrn und das Fegefeuer"	"Im Streit um die Auslegung von Paulus weist Buchstab die reformierte Deutung zurück und beruft sich auf den wörtlichen Schriftsinn sowie die jahrhundertealte Tradition. Berchtold Haller erwidert, dass der Tag des Herrn die Heimsuchung und Bewährung im irdischen Leiden meine, weshalb die Bibelstelle keineswegs das Fegefeuer belege. Anschliessend bringt Buchstab das Beispiel des Schächers am Kreuz vor, um die Notwendigkeit von Busse und Straflosung im Glauben zu begründen."	"Berchtold Haller (Die reformierte Seite) ob die kindertaufe biblisch begründet ist: Streit um Paulus, den Tag des Herrn und das Fegefeuer."	"Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"7"	"Ob die Kindertaufe biblisch begründet ist"	"2"
"76"	"7"	"446"	"455"	"10"	"Debatte über das Fegefeuer und Totendienste"	"Johannes Büchstab und Theobald Hůter, Pfarrer zu Appenzell, begründen die Existenz des Fegefeuers sowie Totengedenkfeiern anhand biblischer Gleichnisse und alttestamentlicher Trauerbräuche. Berchtold Haller und Ökolampad weisen Büchstabs Auslegung von Schriftstellen über den Kerker zurück und bestreiten einen Bezug auf einen zeitlich begrenzten jenseitigen Reinigungsort. Ulrich Zwingli betont dem Appenzeller Pfarrer gegenüber, dass allein Christus die Erlösung erwirkt habe und irdische Strafen oder biblische Redewendungen kein Fegefeuer belegen."	"Berchtold Haller (Die reformierte Seite) ob die kindertaufe biblisch begründet ist: Debatte über das Fegefeuer und Totendienste."	"Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 10 Seiten."	"7"	"Ob die Kindertaufe biblisch begründet ist"	"10"
"77"	"7"	"456"	"459"	"4"	"Debatte über Totengedenken und Fegefeuer"	"Die reformierte Seite und Berchtold Haller bestreiten anhand von Schriftstellen wie dem ersten Thessalonicherbrief und Johannes 5 die Existenz des Fegefeuers sowie den Sinn von Totengedenken. Buchstab verteidigt die traditionellen Jahrzeiten mit Verweis auf die frühe Kirche und betont, Paulus habe nicht das Gebet für Verstorbene, sondern nur heidnisches Trauern verboten. Während Buchstab bekräftigt, dass auch für die Seelen im Fegefeuer Hoffnung bestehe, beharrt Haller darauf, dass die Gläubigen unmittelbar vom Tod zum ewigen Leben gelangen."	"Berchtold Haller (Die reformierte Seite) ob die kindertaufe biblisch begründet ist: Debatte über Totengedenken und Fegefeuer."	"Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"7"	"Ob die Kindertaufe biblisch begründet ist"	"4"
"78"	"8"	"460"	"463"	"4"	"Debatte über das biblische Bilderverbot"	"Franciscus Kolb begründet die achte Schlussrede mit biblischen Schriftstellen und fordert die Beseitigung verehrter Bilder. Johannes Buchstab verteidigt Bilder als Gedächtnisstützen sowie Bücher für Ungelehrte und plädiert dafür, sie ohne Anbetung zu belassen, um Ärgernis zu vermeiden. Zwingli und anschliessend Theobaldus Bůter streiten daraufhin über die Missbrauchsgefahr und die biblische Auslegung des Bilderverbots."	"Niclaus Christen, Franz Kolb, Ulrich Zwingli (Reformierte und katholische Theologen) ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Debatte über das biblische Bilderverbot."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"4"
"79"	"8"	"464"	"464"	"1"	"Zwingli und Huter über den Bildgebrauch und Deut 4"	"Ein Sprecher verteidigt den christlichen Bildgebrauch gegen den Vorwurf des Götzendienstes und legt das Bilderverbot in Deuteronomium 4 allein auf das Wesen Gottes aus. Ulrich Zwingli hält dagegen, dass nach der Schrift weder Gott noch Geschöpfe zur religiösen Verehrung abgebildet werden dürfen. Nachdem Theobald Huter seine Argumente dem Urteil der allgemeinen Kirche unterstellt hat, mahnt Zwingli, dass die Unterwerfung unter die Kirche stets die Unterwerfung unter Gottes Wort bedeuten müsse."	"Die Verhandlungsführer ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Zwingli und Huter über den Bildgebrauch und Deut 4."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"1"
"80"	"8"	"465"	"474"	"10"	"Disputation über die 9. Schlussrede zur Priesterehe"	"Berchtold Haller begründet die neunte Schlussrede biblisch und erklärt das Eheverbot für Geistliche als widergöttlich, woraufhin sich auch Jacobus Wirben zu den Artikeln bekennt. Schulmeister Buchstab hält dagegen, dass eingegangene Keuschheitsgelübde bindend seien und das Neue Testament keine Eheschliessung nach der Priesterweihe kenne. Ulrich Zwingli entgegnet, dass Enthaltsamkeit eine freie Gabe Gottes sei und nicht durch Gelübde erzwungen werden könne."	"Niclaus Christen, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Disputation über die 9. Schlussrede zur Priesterehe."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"10"
"81"	"8"	"475"	"481"	"7"	"Debatte über Gelübde und Auftritt von Blarer"	"Johannes Buchstab verteidigt Gelübde mit Schriftstellen aus dem Alten und Neuen Testament und betont die Pflicht zu deren Einhaltung vor Gott. Zwingli und Ökolampad weisen dies zurück und betonen die christliche Freiheit des Glaubens gegenüber menschlichen Gelübden sowie die metaphorische Natur der alttestamentlichen Opfergebote. Anschliessend meldet sich Ambrosius Blarer zu Wort und erklärt seine Entsendung durch den Rat von Konstanz zur Disputation."	"Johannes Eck, Niclaus Christen, Berchtold Haller u.a. (Reformierte und katholische Theologen) ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Debatte über Gelübde und Auftritt von Blarer."	"Katholischer Theologe; Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"7"
"82"	"8"	"482"	"490"	"9"	"Zehnte Schlussrede und Abschluss der Disputation"	"Franciscus Kolb begründet die zehnte Schlussrede gegen die priesterliche Unkeuschheit, woraufhin Johannes Büchstab und Theobald Huter ihre versöhnlichen Schlussworte an die Versammlung richten. Berchtold Haller ermahnt die Geistlichen in einer ausführlichen Rede zu einer aufrichtigen Erneuerung des Lebenswandels, während Zwingli, Ökolampad, Capito und Bucer ihre Bereitschaft zur fortgesetzten Verteidigung der reformatorischen Lehre bekräftigen. Schliesslich erklärt Joachim von Watt im Namen der Präsidenten die Verhandlungen für beendet, worauf Haller im Auftrag des Berner Rats allen Teilnehmern dankt."	"Niclaus Christen, Berchtold Haller, Franz Kolb u.a. (Reformierte und katholische Theologen) ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Zehnte Schlussrede und Abschluss der Disputation."	"Sänger von Zoffingen; Berner Prädikant; Berner Schultheiss; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Ermahnung zur Ordnung unterbricht die Debatte."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"9"
"83"	"8"	"491"	"496"	"5"	"Biblische Devisen im Druck von Froschauer"	"Der Textabschnitt enthält verschiedene biblische Gleichnisse und Sinnsprüche über Bäume, Früchte und das Senfkorn. Ein zentrales Zitat betont, dass jede Pflanzung ausgerissen wird, die nicht vom himmlischen Vater stammt. Zudem finden sich Hinweise auf den Zürcher Buchdrucker Christoph Froschauer."	"Die Verhandlungsführer ob christi gegenwart im abendmahl leiblich oder geistlich verstanden wird: Biblische Devisen im Druck von Froschauer."	"—"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 6 Seiten."	"8"	"Ob Christi Gegenwart im Abendmahl leiblich oder geistlich verstanden wird"	"6"
